Pin,Name,Default,ADC,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
1,PB6,PB6,,,SSI2Rx,,M0PWM2,,,T1CCP0,,,,,,,,
2,VDDA,,,,,,,,,,,,,,,,,
3,GNDA,,,,,,,,,,,,,,,,,
4,PB7,PB7,,,SSI2Tx,,M0PWM1,,,T0CCP1,,,,,,,,
5,PF4,PF4,,,,,,M1FAULT0,QEI_IDX0,T2CCP0,USB0EPEN,,,,,,,
6,PE3,PE3,AIN0,,,,,,,,,,,,,,,
7,PE2,PE2,AIN1,,,,,,,,,,,,,,,
8,PE1,PE1,AIN2,U7Tx,,,,,,,,,,,,,,
9,PE0,PE0,AIN3,U7Rx,,,,,,,,,,,,,,
10,PD7,PD7,,U2Tx,,,,,QEI_PhB0,WT5CCP1,NMI,,,,,,,
11,VDD,,,,,,,,,,,,,,,,,
12,GND,,,,,,,,,,,,,,,,,
13,PC7,PC7,C0-,U3Tx,,,,,,WT1CCP1,USB0PFLT,,,,,,,
14,PC6,PC6,C0+,U3Rx,,,,,QEI_PhB1,WT1CCP0,USB0EPEN,,,,,,,
15,PC5,PC5,C1+,U4Tx,U1Tx,,M0PWM7,,QEI_PhA1,WT0CCP1,U1CTS,,,,,,,
16,PC4,PC4,C1-,U4Rx,U1Rx,,M0PWM6,,QEI_IDX1,WT0CCP0,U1RTS,,,,,,,
17,PA0,U0Rx,,U0Rx,,,,,,,CAN1Rx,,,,,,,
18,PA1,U0Tx,,U0Tx,,,,,,,CAN1Tx,,,,,,,
19,PA2,SSI0Clk,,,SSI0Clk,,,,,,,,,,,,,
20,PA3,SSI0Fss,,,SSI0Fss,,,,,,,,,,,,,
21,PA4,SSI0Rx,,,SSI0Rx,,,,,,,,,,,,,
22,PA5,SSI0Tx,,,SSI0Tx,,,,,,,,,,,,,
23,PA6,PA6,,,,I2C1SCL,,M1PWM2,,,,,,,,,,
24,PA7,PA7,,,,I2C1SDA,,M1PWM3,,,,,,,,,,
25,VDDC,,,,,,,,,,,,,,,,,
26,VDD,,,,,,,,,,,,,,,,,
27,GND,,,,,,,,,,,,,,,,,
28,PF0,PF0,,U1RTS,SSI1Rx,CAN0Rx,,M1PWM4,QEI_PhA0,T0CCP0,NMI,C0o,,,,,,
29,PF1,PF1,,U1CTS,SSI1Tx,,,M1PWM5,QEI_PhB0,T0CCP1,,C1o,,,,,TRD1,
30,PF2,PF2,,,SSI1Clk,,M0FAULT0,M1PWM6,,T1CCP0,,,,,,,TRD0,
31,PF3,PF3,,,SSI1Fss,CAN0Tx,,M1PWM7,,T1CCP1,,,,,,,TRCLK,
32,WAKE,,,,,,,,,,,,,,,,,
33,HIB,,,,,,,,,,,,,,,,,
34,XOSC0,,,,,,,,,,,,,,,,,
35,GNDX,,,,,,,,,,,,,,,,,
36,XOSC1,,,,,,,,,,,,,,,,,
37,VBAT,,,,,,,,,,,,,,,,,
38,RST,,,,,,,,,,,,,,,,,
39,GND,,,,,,,,,,,,,,,,,
40,OSC0,,,,,,,,,,,,,,,,,
41,OSC1,,,,,,,,,,,,,,,,,
42,VDD,,,,,,,,,,,,,,,,,
43,PD4,PD4,USB0DM,U6Rx,,,,,,WT4CCP0,,,,,,,,
44,PD5,PD5,USB0DP,U6Tx,,,,,,WT4CCP1,,,,,,,,
45,PB0,PB0,USB0ID,U1Rx,,,,,,T2CCP0,,,,,,,,
46,PB1,PB1,USB0VBUS,U1Tx,,,,,,T2CCP1,,,,,,,,
47,PB2,I2C0SCL,,,,I2C0SCL,,,,T3CCP0,,,,,,,,
48,PB3,I2C0SDA,,,,I2C0SDA,,,,T3CCP1,,,,,,,,
49,PC3,JTAG_TDO/SWO,,JTAG_TDO/SWO,,,,,,T5CCP1,,,,,,,,
50,PC2,JTAG_TDI,,JTAG_TDI,,,,,,T5CCP0,,,,,,,,
51,PC1,JTAG_TMS/SWDIO,,JTAG_TMS/SWDIO,,,,,,T4CCP1,,,,,,,,
52,PC0,JTAG_TCK/SWCLK,,JTAG_TCK/SWCLK,,,,,,T4CCP0,,,,,,,,
53,PD6,PD6,,U2Rx,,,M0FAULT0,,QEI_PhA0,WT5CCP0,,,,,,,,
54,VDD,,,,,,,,,,,,,,,,,
55,GND,,,,,,,,,,,,,,,,,
56,VDDC,,,,,,,,,,,,,,,,,
57,PB5,PB5,AIN11,,SSI2Fss,,M0PWM3,,,T1CCP1,CAN0Tx,,,,,,,
58,PB4,PB4,AIN10,,SSI2Clk,,M0PWM2,,,T1CCP0,CAN0Rx,,,,,,,
59,PE4,PE4,AIN9,U5Rx,,I2C2SCL,M0PWM4,M1PWM2,,,CAN0Rx,,,,,,,
60,PE5,PE5,AIN8,U5Tx,,ISC2SDA,M0PWM5,M1PWM3,,,CAN0Tx,,,,,,,
61,PD0,PD0,AIN7,SSI3Clk,SSI1Clk,I2C3SCL,M0PWM6,M1PWM0,,WT2CCP0,,,,,,,,
62,PD1,PD1,AIN6,SSI3Fss,SSI1Fss,ISC3SDA,M0PWM7,M1PWM1,,WT2CCP1,,,,,,,,
63,PD2,PD2,AIN5,SSI3Rx,SSI1Rx,,M0FAULT0,,,WT3CCP0,USB0EPEN,,,,,,,
64,PD3,PD3,AIN4,SSI3Tx,SSI1Tx,,,,QEI_IDX0,WT3CCP1,USB0PFLT,,,,,,,
